Year,nom_departement,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro
2021,PYRENEES-ATLANTIQUES,826.0,8616260.0,33829.0
2021,PYRENEES-ORIENTALES,131.0,2199415.0,9303.0
2021,RHONE,777.0,13162946.0,51325.0
2021,SARTHE,163.0,2218842.0,9019.0
2021,SAVOIE,195.0,3997303.0,13878.0
2021,SEINE-ET-MARNE,59.0,2080362.0,7457.0
2021,SEINE-MARITIME,278.0,4361893.0,18023.0
2021,SEINE-SAINT-DENIS,334.0,10711275.0,42774.0
2021,SOMME,167.0,2154557.0,8469.0
2021,TARN,65.0,2024403.0,7282.0
2021,TARN-ET-GARONNE,77.0,1976514.0,7066.0
2021,VAL-D'OISE,174.0,4506911.0,19046.0
2021,VAL-DE-MARNE,3168.0,30906563.0,119003.0
2021,VAR,1200.0,14453958.0,55905.0
2021,VAUCLUSE,150.0,4021337.0,14334.0
2021,VENDEE,151.0,2188586.0,9142.0
2021,VIENNE,99.0,1987967.0,7268.0
2021,YVELINES,1792.0,12773744.0,46645.0
2022,ALPES-MARITIMES,2326.0,23820734.0,105096.0
2022,AUBE,54.0,2521151.0,13016.0
2022,AUDE,67.0,2057986.0,8138.0
2022,BAS-RHIN,772.0,2428332.0,10243.0
2022,BOUCHES-DU-RHONE,1386.0,12906683.0,53279.0
2022,CALVADOS,235.0,2255639.0,9789.0
2022,CHARENTE-MARITIME,305.0,2161802.0,8229.0
2022,CHER,52.0,2087067.0,8250.0
2022,CORREZE,66.0,2759759.0,14534.0
2022,CORSE-DU-SUD,191.0,2382146.0,10964.0
2022,COTE-D'OR,251.0,4575104.0,18553.0
2022,DEUX-SEVRES,56.0,2119336.0,7370.0
2022,DOUBS,106.0,2104686.0,8156.0
2022,DROME,137.0,4709787.0,20101.0
2022,ESSONNE,320.0,9591918.0,39418.0
2022,EURE-ET-LOIR,96.0,2337133.0,10689.0
2022,FINISTERE,146.0,4802531.0,22024.0
2022,GARD,237.0,2192135.0,9472.0
2022,GIRONDE,1220.0,20081727.0,83280.0
2022,GUADELOUPE,57.0,3260706.0,16404.0
2022,HAUT-RHIN,184.0,4693991.0,21431.0
2022,HAUTE-CORSE,62.0,2292098.0,10467.0
2022,HAUTE-GARONNE,72.0,2312984.0,9890.0
2022,HAUTE-SAVOIE,724.0,4172834.0,16408.0
2022,HAUTE-VIENNE,149.0,2314909.0,10543.0
2022,HAUTES-ALPES,71.0,2264449.0,8403.0
2022,HAUTS-DE-SEINE,7965.0,58569392.0,229689.0
2022,HERAULT,864.0,11052377.0,47992.0
2022,ILLE-ET-VILAINE,889.0,4744273.0,21163.0
2022,INDRE-ET-LOIRE,232.0,2096669.0,7992.0
2022,ISERE,175.0,2275227.0,9034.0
2022,LA REUNION,731.0,9488315.0,42922.0
2022,LOIRE,77.0,2037480.0,7431.0
2022,LOIRE-ATLANTIQUE,280.0,8655196.0,33958.0
2022,LOIRET,231.0,4781088.0,21369.0
2022,MAINE-ET-LOIRE,220.0,2159961.0,8320.0
2022,MARNE,292.0,2203260.0,8888.0
2022,MAYENNE,80.0,2396354.0,10426.0
2022,MEURTHE-ET-MOSELLE,210.0,2406796.0,9761.0
2022,MORBIHAN,231.0,1986573.0,7523.0
2022,MOSELLE,201.0,4575674.0,20218.0
2022,NORD,1203.0,18147862.0,68268.0
2022,OISE,177.0,5791746.0,27185.0
2022,PARIS,5670.0,20123808.0,91049.0
2022,PAS-DE-CALAIS,52.0,1940972.0,6975.0
2022,PUY-DE-DOME,127.0,2104046.0,8096.0
2022,PYRENEES-ATLANTIQUES,972.0,8703366.0,34525.0
2022,PYRENEES-ORIENTALES,136.0,2203538.0,9390.0
2022,RHONE,856.0,13402280.0,52686.0
2022,SARTHE,173.0,2216505.0,9133.0
2022,SAVOIE,215.0,4196146.0,16195.0
2022,SEINE-ET-MARNE,61.0,2127553.0,7920.0
2022,SEINE-MARITIME,315.0,4321161.0,17312.0
2022,SEINE-SAINT-DENIS,308.0,8906040.0,39085.0
2022,SOMME,169.0,2190789.0,8679.0
2022,TARN,65.0,2113080.0,8346.0
2022,TARN-ET-GARONNE,78.0,2114443.0,8140.0
2022,VAL-D'OISE,197.0,4394504.0,17650.0
2022,VAL-DE-MARNE,3455.0,33322137.0,130750.0
2022,VAR,1289.0,14635714.0,57342.0
2022,VAUCLUSE,159.0,3991712.0,14337.0
2022,VENDEE,247.0,4387910.0,18728.0
2022,VIENNE,103.0,2018790.0,7477.0
2022,YVELINES,1948.0,12898197.0,47807.0
